defect,defect_description,targeted_gate,gate,status,is_target,detected,seconds,message
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,precomputed_input,PASS,0,0,0.001992,loader returns the pre-computed input at the training-step-input boundary
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,temporal_window,PASS,0,0,0.005659,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,target_transforms,FAIL,1,1,0.001929,"sharpen applied 2x per target frame, declared 1x"
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,operator_trace,PASS,0,0,0.010993,9 distinct orders over 12 draws
no_sharpen,a declared target transformation is not applied,target_transforms,precomputed_input,PASS,0,0,0.001933,loader returns the pre-computed input at the training-step-input boundary
no_sharpen,a declared target transformation is not applied,target_transforms,temporal_window,PASS,0,0,0.005629,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
no_sharpen,a declared target transformation is not applied,target_transforms,target_transforms,FAIL,1,1,0.001849,"sharpen applied 0x per target frame, declared 1x"
no_sharpen,a declared target transformation is not applied,target_transforms,operator_trace,PASS,0,0,0.010679,9 distinct orders over 12 draws
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,precomputed_input,PASS,0,0,0.002072,loader returns the pre-computed input at the training-step-input boundary
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,temporal_window,PASS,0,0,0.005608,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,target_transforms,PASS,0,0,0.001813,"sharpen applied 1x per frame, as declared"
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,operator_trace,FAIL,1,1,0.010915,policy declared 'random_permutation' but all 12 draws executed the same order: blur->downsample->noise->jpeg. The permutation is computed and discarded.
value_range,"output range silently changes from [0,1] to [0,255]",,precomputed_input,PASS,0,0,0.002108,loader returns the pre-computed input at the training-step-input boundary
value_range,"output range silently changes from [0,1] to [0,255]",,temporal_window,PASS,0,0,0.006702,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
value_range,"output range silently changes from [0,1] to [0,255]",,target_transforms,PASS,0,0,0.002219,"sharpen applied 1x per frame, as declared"
value_range,"output range silently changes from [0,1] to [0,255]",,operator_trace,PASS,0,0,0.011097,9 distinct orders over 12 draws
channel_collapse,colour output silently collapses to replicated luminance,,precomputed_input,PASS,0,0,0.00215,loader returns the pre-computed input at the training-step-input boundary
channel_collapse,colour output silently collapses to replicated luminance,,temporal_window,PASS,0,0,0.007376,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
channel_collapse,colour output silently collapses to replicated luminance,,target_transforms,PASS,0,0,0.002128,"sharpen applied 1x per frame, as declared"
channel_collapse,colour output silently collapses to replicated luminance,,operator_trace,PASS,0,0,0.013336,9 distinct orders over 12 draws
inert_factor,an experimental factor that does nothing,separability,separability,FAIL,1,1,5.2e-05,UNEXPECTED EQUALITY: two treatments declared distinct produced tensors identical to within 1e-06 (max delta 0.000e+00). The declared distinction is not observable under this probe; verify treatment id
real_factor,a factor that really changes the tensor (control),,separability,PASS,0,0,1.4e-05,treatments are distinguishable (max delta 100)
geometry_squeeze,evaluation resize distorts the declared aspect ratio,geometry,geometry,FAIL,1,1,4e-06,delivered 368x640 distorts the declared 180x320 aspect ratio by 2.17%; metrics computed here are not on the declared geometry
geometry_faithful,evaluation resize preserves it (control),,geometry,PASS,0,0,2e-06,delivered 360x640 preserves the declared aspect ratio
