defect,defect_description,targeted_gate,gate,status,is_target,detected,seconds,message
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,temporal_window,PASS,0,0,0.00818,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,target_transforms,FAIL,1,1,0.001818,"sharpen applied 2x per target frame, declared 1x"
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,operator_trace,PASS,0,0,0.010199,9 distinct orders over 12 draws
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,value_range,PASS,0,0,0.003287,2 delivered stream(s) satisfy the declared finite range and fixture anchors
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,channel_content,PASS,0,0,0.00351,2 delivered stream(s) retain the declared channel content
no_sharpen,a declared target transformation is not applied,target_transforms,precomputed_input,PASS,0,0,0.001814,loader returns the pre-computed input at the loader-output boundary
no_sharpen,a declared target transformation is not applied,target_transforms,temporal_window,PASS,0,0,0.008166,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
no_sharpen,a declared target transformation is not applied,target_transforms,target_transforms,FAIL,1,1,0.001803,"sharpen applied 0x per target frame, declared 1x"
no_sharpen,a declared target transformation is not applied,target_transforms,operator_trace,PASS,0,0,0.01018,9 distinct orders over 12 draws
no_sharpen,a declared target transformation is not applied,target_transforms,value_range,PASS,0,0,0.003292,2 delivered stream(s) satisfy the declared finite range and fixture anchors
no_sharpen,a declared target transformation is not applied,target_transforms,channel_content,PASS,0,0,0.003388,2 delivered stream(s) retain the declared channel content
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,precomputed_input,PASS,0,0,0.001842,loader returns the pre-computed input at the loader-output boundary
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,temporal_window,PASS,0,0,0.008217,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,target_transforms,PASS,0,0,0.001788,"sharpen applied 1x per frame, as declared"
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,operator_trace,FAIL,1,1,0.009915,policy declared 'random_permutation' but all 12 draws executed the same order: blur->downsample->noise->jpeg. The permutation is computed and discarded.
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,value_range,PASS,0,0,0.003267,2 delivered stream(s) satisfy the declared finite range and fixture anchors
fixed_order,an operator permutation is drawn and the loop indexes the unpermuted list,operator_trace,channel_content,PASS,0,0,0.00344,2 delivered stream(s) retain the declared channel content
value_range,"output range silently changes from [0,255] to [0,1]",value_range,precomputed_input,PASS,0,0,0.00186,loader returns the pre-computed input at the loader-output boundary
value_range,"output range silently changes from [0,255] to [0,1]",value_range,temporal_window,PASS,0,0,0.00885,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
value_range,"output range silently changes from [0,255] to [0,1]",value_range,target_transforms,PASS,0,0,0.001958,"sharpen applied 1x per frame, as declared"
value_range,"output range silently changes from [0,255] to [0,1]",value_range,operator_trace,PASS,0,0,0.010586,9 distinct orders over 12 draws
value_range,"output range silently changes from [0,255] to [0,1]",value_range,value_range,FAIL,1,1,0.003412,"VALUE-RANGE CONTRADICTION: lq anchors [0, 1] do not realise declared extrema [0, 255]; gt anchors [0, 1] do not realise declared extrema [0, 255]"
value_range,"output range silently changes from [0,255] to [0,1]",value_range,channel_content,PASS,0,0,0.003477,2 delivered stream(s) retain the declared channel content
channel_collapse,colour output silently collapses to replicated luminance,channel_content,precomputed_input,PASS,0,0,0.002053,loader returns the pre-computed input at the loader-output boundary
channel_collapse,colour output silently collapses to replicated luminance,channel_content,temporal_window,PASS,0,0,0.010046,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
channel_collapse,colour output silently collapses to replicated luminance,channel_content,target_transforms,PASS,0,0,0.002048,"sharpen applied 1x per frame, as declared"
channel_collapse,colour output silently collapses to replicated luminance,channel_content,operator_trace,PASS,0,0,0.012892,9 distinct orders over 12 draws
channel_collapse,colour output silently collapses to replicated luminance,channel_content,value_range,PASS,0,0,0.003462,2 delivered stream(s) satisfy the declared finite range and fixture anchors
channel_collapse,colour output silently collapses to replicated luminance,channel_content,channel_content,FAIL,1,1,0.003603,CHANNEL-CONTENT CONTRADICTION: lq channel signature collapsed (minimum pairwise MAE 0 <= 1e-05)
inert_factor,an experimental factor that does nothing,separability,separability,FAIL,1,1,0.003348,UNEXPECTED EQUALITY: two treatments declared distinct produced tensors identical to within 1e-06 in all 16 matched-seed draws. The declared distinction is not observable under this probe; verify treat
real_factor,a factor that really changes the tensor (control),,separability,PASS,0,0,0.080581,"16 matched draws distinguish the treatments and the paired energy test rejects equality (effect 22.12, p=0.0002441, alpha=0.05)"
geometry_squeeze,evaluation resize distorts the declared aspect ratio,geometry,geometry,FAIL,1,1,4e-06,delivered 368x640 distorts the declared 180x320 aspect ratio by 2.17%; metrics computed here are not on the declared geometry
geometry_faithful,evaluation resize preserves it (control),,geometry,PASS,0,0,2e-06,delivered 360x640 preserves the declared aspect ratio
